family,benchmark,model,zero_shot,best_strategy,best_acc,prompt_uplift_pp,vs_next_size_up
Gemma-2,gsm8k,gemma-2b,5.7,cot,54.0,48.3,✓ matches/beats gemma-9b zero-shot (16.3)
Gemma-2,gsm8k,gemma-9b,16.3,cot,86.3,70.0,
Gemma-2,mmlu,gemma-2b,55.2,structured,56.5,1.3,✗ below gemma-9b zero-shot (69.7)
Gemma-2,mmlu,gemma-9b,69.7,cot,70.3,0.6,
Gemma-2,sst2,gemma-2b,89.9,cot,90.5,0.6,✗ below gemma-9b zero-shot (90.6)
Gemma-2,sst2,gemma-9b,90.6,structured,92.2,1.6,
Llama-3,gsm8k,llama-1b,6.6,zero_shot,6.6,0.0,✗ below llama-3b zero-shot (11.1)
Llama-3,gsm8k,llama-3b,11.1,cot,73.0,61.9,✓ matches/beats llama-8b zero-shot (20.1)
Llama-3,gsm8k,llama-8b,20.1,cot,81.9,61.8,
Llama-3,mmlu,llama-1b,32.4,structured,39.0,6.6,✗ below llama-3b zero-shot (52.9)
Llama-3,mmlu,llama-3b,52.9,structured,56.6,3.7,✗ below llama-8b zero-shot (62.5)
Llama-3,mmlu,llama-8b,62.5,structured,63.6,1.1,
Llama-3,sst2,llama-1b,58.4,structured,73.4,15.0,✗ below llama-3b zero-shot (88.6)
Llama-3,sst2,llama-3b,88.6,structured,89.9,1.3,✗ below llama-8b zero-shot (92.9)
Llama-3,sst2,llama-8b,92.9,zero_shot,92.9,0.0,
Qwen2.5-Instruct,gsm8k,qwen-0.5b,2.7,cot,24.7,22.0,✓ matches/beats qwen-1.5b zero-shot (3.4)
Qwen2.5-Instruct,gsm8k,qwen-1.5b,3.4,cot,58.7,55.3,✓ matches/beats qwen-3b zero-shot (1.7)
Qwen2.5-Instruct,gsm8k,qwen-3b,1.7,cot,71.1,69.4,✓ matches/beats qwen-7b zero-shot (15.3)
Qwen2.5-Instruct,gsm8k,qwen-7b,15.3,cot,88.7,73.4,
Qwen2.5-Instruct,mmlu,qwen-0.5b,35.2,zero_shot,35.2,0.0,✗ below qwen-1.5b zero-shot (55.6)
Qwen2.5-Instruct,mmlu,qwen-1.5b,55.6,structured,56.9,1.3,✗ below qwen-3b zero-shot (60.7)
Qwen2.5-Instruct,mmlu,qwen-3b,60.7,structured,60.7,0.0,✗ below qwen-7b zero-shot (70.2)
Qwen2.5-Instruct,mmlu,qwen-7b,70.2,few_shot,71.7,1.5,
Qwen2.5-Instruct,sst2,qwen-0.5b,61.0,few_shot,87.6,26.6,✓ matches/beats qwen-1.5b zero-shot (85.1)
Qwen2.5-Instruct,sst2,qwen-1.5b,85.1,few_shot,92.0,6.9,✓ matches/beats qwen-3b zero-shot (80.4)
Qwen2.5-Instruct,sst2,qwen-3b,80.4,structured,90.9,10.5,✓ matches/beats qwen-7b zero-shot (83.7)
Qwen2.5-Instruct,sst2,qwen-7b,83.7,cot,93.5,9.8,
