model,family,params_b,benchmark,strategy,seed,correct,numeric_present,rel_error,elapsed_sec,in_tokens,out_tokens,output
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.609,95,2,A.
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.117,105,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.15,92,4,A. always.
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.188,105,8,A. are incompatible with the right to
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.191,99,8,A. Debtors with fixed interest rates
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.143,132,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.136,164,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.121,113,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.214,220,8,A. The Servicemen's Read
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.21,143,8,A. The first time you drop a
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.162,91,4,A. perpetual inventory
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.128,100,1,C
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.183,153,5,A. Special revenue.
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.128,91,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.136,162,1,C
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.117,121,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.169,266,1,B
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.125,120,1,D
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.194,142,8,"D. 7

To represent at"
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.13,124,1,C
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.239,257,2,A.
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.174,154,5,"A. Wrong, Wrong"
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.19,114,8,A. Robert MacArthur and E.
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.13,112,1,C
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.201,161,8,"A. Social accountability standard, SA "
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.179,91,6,"A. 3,4"
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,1,,,0.127,89,1,B
qwen-0.5b-fp16,Qwen2.5-bf16,0.5,mmlu,zero_shot,42,0,,,0.125,86,1,C
