model,family,params_b,strategy,exact_match,numeric_present,median_rel_error
gemma-2b,Gemma-2,2.0,cot,54.0,59.7,0.0
gemma-2b,Gemma-2,2.0,few_shot,2.5,5.5,0.89
gemma-2b,Gemma-2,2.0,structured,5.4,5.4,0.538
gemma-2b,Gemma-2,2.0,zero_shot,5.7,5.7,0.556
gemma-9b,Gemma-2,9.0,cot,86.3,88.3,0.0
gemma-9b,Gemma-2,9.0,few_shot,2.7,6.3,0.891
gemma-9b,Gemma-2,9.0,structured,21.8,21.9,0.276
gemma-9b,Gemma-2,9.0,zero_shot,16.3,16.4,0.333
llama-1b,Llama-3,1.0,cot,1.4,18.7,0.916
llama-1b,Llama-3,1.0,few_shot,1.4,5.6,0.909
llama-1b,Llama-3,1.0,structured,4.8,5.3,0.684
llama-1b,Llama-3,1.0,zero_shot,6.6,9.9,0.8
llama-3b,Llama-3,3.0,cot,73.0,78.9,0.0
llama-3b,Llama-3,3.0,few_shot,1.5,4.7,0.927
llama-3b,Llama-3,3.0,structured,7.7,7.8,0.538
llama-3b,Llama-3,3.0,zero_shot,11.1,15.4,0.809
llama-8b,Llama-3,8.0,cot,81.9,86.0,0.0
llama-8b,Llama-3,8.0,few_shot,0.8,5.4,0.911
llama-8b,Llama-3,8.0,structured,9.9,10.8,0.5
llama-8b,Llama-3,8.0,zero_shot,20.1,23.0,0.577
qwen-0.5b,Qwen2.5-Instruct,0.5,cot,24.7,38.2,0.463
qwen-0.5b,Qwen2.5-Instruct,0.5,few_shot,3.2,5.4,0.895
qwen-0.5b,Qwen2.5-Instruct,0.5,structured,2.0,3.8,0.833
qwen-0.5b,Qwen2.5-Instruct,0.5,zero_shot,2.7,4.4,0.933
qwen-1.5b,Qwen2.5-Instruct,1.5,cot,58.7,64.8,0.0
qwen-1.5b,Qwen2.5-Instruct,1.5,few_shot,7.2,10.9,0.8
qwen-1.5b,Qwen2.5-Instruct,1.5,structured,12.0,12.0,0.5
qwen-1.5b,Qwen2.5-Instruct,1.5,zero_shot,3.4,6.2,0.933
qwen-3b,Qwen2.5-Instruct,3.0,cot,71.1,79.3,0.0
qwen-3b,Qwen2.5-Instruct,3.0,few_shot,1.7,5.7,0.952
qwen-3b,Qwen2.5-Instruct,3.0,structured,2.0,4.9,0.583
qwen-3b,Qwen2.5-Instruct,3.0,zero_shot,1.7,3.2,0.941
qwen-7b,Qwen2.5-Instruct,7.0,cot,88.7,91.5,0.0
qwen-7b,Qwen2.5-Instruct,7.0,few_shot,2.0,5.5,0.917
qwen-7b,Qwen2.5-Instruct,7.0,structured,22.4,22.4,0.27
qwen-7b,Qwen2.5-Instruct,7.0,zero_shot,15.3,15.5,0.437
