model,family,params_b,benchmark,strategy,seed,correct,numeric_present,rel_error,elapsed_sec,in_tokens,out_tokens,output
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.2,0.389,91,3,"6 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.5102040816326531,0.353,57,5,"240 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.0666666666666666,0.418,100,5,"210 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.6666666666666666,0.402,107,4,"10 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.5,0.363,62,7,"$0.50 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,4.0,0.383,64,8,"$10.00 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.0714285714285714,0.437,104,5,"$13 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.3333333333333333,0.436,75,9,"$840.00 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.5,0.344,63,4,"40 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.3,0.404,110,4,"42 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,4.0,0.503,166,4,"10 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,8.0,0.366,73,4,"72 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.8333333333333333,0.443,107,6,"-2.5 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.7297297297297297,0.424,83,8,"$12800 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.5,0.368,80,4,"60 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,19.0,0.384,96,5,"200 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,3.4444444444444446,0.38,72,5,"200 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.9333333333333332,0.402,96,6,"1.00 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.3333333333333333,0.35,71,3,"7 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,49.0,0.383,84,5,"200 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.6666666666666667,0.385,91,5,"728 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,22.529411764705884,0.396,71,6,"7200 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,15.5,0.371,95,4,"33 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.4117647058823529,0.395,67,6,"$120 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.3571428571428571,0.341,74,3,"9 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,3.311688311688312,0.467,145,5,"332 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.75,0.35,94,3,"1 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.2121212121212121,0.362,66,4,"26 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.0,0.416,93,7,"20.00 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,5.0,0.384,97,5,"120 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.75,0.399,83,6,"10.5 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.7857142857142857,0.426,107,5,"300 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.2291666666666666,0.318,62,4,"37 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,6.111111111111111,0.434,115,6,"$320 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.1170212765957446,0.378,95,5,"166 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.75,0.422,112,5,"220 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.1219512195121951,0.402,112,4,"72 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.6666666666666666,0.345,83,3,"2 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.1666666666666666,0.361,73,4,"10 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.25,0.398,68,6,"62.5 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.4117647058823529,0.462,131,4,"10 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.609375,0.498,122,8,"$12.50 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.4,0.355,80,3,"3 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,11.0,0.452,93,8,"120000 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.2857142857142857,0.477,118,5,"200 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.2222222222222222,0.37,80,4,"33 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.6,0.485,141,4,"10 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.4117647058823529,0.469,119,6,"10.0 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.75,0.364,67,3,"7 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.5,0.393,93,5,"360 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,1,1.0,0.0,0.371,87,3,"3 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.0,0.395,85,5,"100 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.25,0.383,85,5,"126 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.25,0.394,106,3,"9 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.04,0.377,87,4,"48 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.5,0.496,97,10,"$100,000 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,1,1.0,0.0,0.397,78,3,"3 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.9666666666666668,0.353,60,6,"2400 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,1.0,0.38,91,4,"12 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.9722222222222222,0.352,83,3,"2 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.0714285714285714,0.443,117,4,"13 
"
gemma-2b,Gemma-2,2.0,gsm8k,zero_shot,43,0,0.0,0.3333333333333333,0.439,102,5,"100 
"
